Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts,Elite%
M,180,Twine,4.9,4.9,Burnley,0,0.00,0.00
G,181,Vigouroux,3.9,3.9,Burnley,0,0.00,0.00
D,182,Vitinho,4.4,4.4,Burnley,63,2.54,0.00
F,183,Weghorst,5.5,5.5,Burnley,0,0.00,0.00
M,184,Zaroury,4.6,4.6,Burnley,0,0.00,0.00
D,185,Ampadu,4.0,4.0,Chelsea,0,0.00,0.00
M,186,Andrey,4.2,4.2,Chelsea,0,0.00,0.00
G,187,Arrizabalaga,5.0,5.0,Chelsea,0,0.00,0.00
F,188,Aubameyang,6.5,6.5,Chelsea,0,0.00,0.00
D,189,Azpilicueta,4.5,4.5,Chelsea,0,0.00,0.00
D,190,Baba,4.0,4.0,Chelsea,0,0.00,0.00
D,191,B.Badiashile,4.4,4.4,Chelsea,30,1.21,0.00
G,192,Bettinelli,4.0,4.0,Chelsea,0,0.00,0.00
F,193,Broja,4.9,4.9,Fulham,3,0.24,0.00
D,194,Chalobah,4.3,4.3,Chelsea,77,3.10,0.01
D,195,Chilwell,5.4,5.4,Chelsea,14,0.72,0.01
M,196,Chukwuemeka,4.2,4.2,Chelsea,13,0.67,0.00
D,197,Colwill,4.6,4.6,Chelsea,27,1.14,0.00
D,198,Cucurella,4.9,4.9,Chelsea,77,3.25,0.07
M,199,Enzo,4.8,4.8,Chelsea,0,0.00,0.00
F,200,D.D.Fofana,5.0,5.0,Burnley,32,1.91,0.00
D,201,W.Fofana,4.4,4.4,Chelsea,0,0.00,0.00
M,202,Gallagher,5.4,5.4,Chelsea,89,3.68,0.00
D,203,Gusto,4.3,4.3,Chelsea,53,2.47,0.08
D,204,Hall,4.2,4.2,Newcastle,56,2.12,0.00
M,205,Hudson-Odoi,4.7,4.7,Nott'm Forest,72,3.05,0.00
D,206,James,5.3,5.3,Chelsea,21,1.15,0.00
F,207,Lukaku,6.8,6.8,Chelsea,0,0.00,0.00
M,208,Madueke,5.3,5.3,Chelsea,62,3.35,0.00
M,209,Mount,6.8,6.8,Man Utd,0,0.00,0.00
M,210,Mudryk,6.3,6.3,Chelsea,0,0.00,0.00
F,211,N.Jackson,7.0,6.9,Chelsea,80,4.14,0.93
F,212,Nkunku,7.2,7.2,Chelsea,51,2.83,0.00
M,213,Pulisic,5.5,5.5,Chelsea,0,0.00,0.00
D,214,M.Sarr,4.3,4.3,Chelsea,0,0.00,0.00
G,215,Slonina,4.0,4.0,Chelsea,0,0.00,0.00
M,216,Sterling,6.8,6.8,Chelsea,44,2.48,0.00
D,217,T.Silva,5.0,5.0,Chelsea,86,3.44,0.00
M,218,Ziyech,5.4,5.4,Chelsea,0,0.00,0.00
M,219,Ahamada,4.3,4.3,Crystal Palace,0,0.00,0.00
D,220,Andersen,4.7,4.7,Crystal Palace,92,3.00,0.00
M,221,J.Ayew,5.3,5.3,Crystal Palace,39,2.09,0.00
D,222,Clyne,4.3,4.3,Crystal Palace,25,0.91,0.00
M,223,C.Doucouré,4.8,4.8,Crystal Palace,12,0.44,0.00
M,224,Ebiowei,4.4,4.4,Crystal Palace,0,0.00,0.00
F,225,Edouard,5.3,5.3,Crystal Palace,26,1.56,0.00
M,226,Eze,6.0,6.0,Crystal Palace,82,4.56,0.01
G,227,Guaita,4.4,4.4,Crystal Palace,0,0.00,0.00
D,228,Guéhi,4.2,4.2,Crystal Palace,76,2.55,0.00
M,229,Hughes,4.9,4.9,Crystal Palace,0,0.00,0.00
G,230,Johnstone,4.3,4.3,Crystal Palace,0,0.00,0.00
M,231,Lerma,4.7,4.7,Crystal Palace,50,1.54,0.00
F,232,Mateta,5.1,5.1,Crystal Palace,78,4.00,0.01
G,233,Matthews,3.9,3.9,Crystal Palace,0,0.00,0.00
D,234,Mitchell,4.5,4.5,Crystal Palace,86,3.00,0.00
D,235,O'Brien,4.0,4.0,Crystal Palace,0,0.00,0.00
M,236,Olise,5.7,5.7,Crystal Palace,86,4.54,0.00
F,237,Plange,4.5,4.5,Crystal Palace,0,0.00,0.00
D,238,C.Richards,3.9,3.9,Crystal Palace,86,2.81,0.01
M,239,Riedewald,4.3,4.3,Crystal Palace,11,0.41,0.00
M,240,Schlupp,4.8,4.8,Crystal Palace,33,1.58,0.00
D,241,Tomkins,3.9,3.9,Crystal Palace,2,0.06,0.00
D,242,Ward,4.5,4.5,Crystal Palace,12,0.38,0.00
G,243,Whitworth,3.9,3.9,Crystal Palace,0,0.00,0.00
M,244,André Gomes,4.4,4.4,Everton,20,0.75,0.00
D,245,Branthwaite,4.5,4.5,Everton,91,1.48,0.08
F,246,Calvert-Lewin,5.8,5.8,Everton,66,2.63,0.00
D,247,Coleman,4.4,4.4,Everton,61,1.30,0.00
M,248,Dele,4.8,4.8,Everton,0,0.00,0.00
M,249,A.Doucoure,5.5,5.5,Everton,83,2.35,0.00
M,250,Garner,4.9,4.9,Everton,76,2.06,0.00
M,251,Gbamin,4.4,4.4,Everton,0,0.00,0.00
D,252,Godfrey,4.3,4.3,Everton,58,1.07,0.01
M,253,Gray,5.3,5.3,Everton,0,0.00,0.00
M,254,Gana,4.8,4.8,Everton,78,2.02,0.00
D,255,Holgate,4.0,4.0,Sheffield Utd,22,0.64,0.00
M,256,Iwobi,5.3,5.3,Fulham,81,3.60,0.00
D,257,Keane,4.2,4.2,Everton,14,0.31,0.00
F,258,Maupay,4.9,4.9,Brentford,5,0.33,0.00
M,259,McNeil,5.4,5.4,Everton,91,2.92,0.00
D,260,Mykolenko,4.5,4.5,Everton,0,0.00,0.00
M,261,Onana,4.7,4.7,Everton,55,1.52,0.00
D,262,Patterson,4.3,4.3,Everton,0,0.00,0.00
G,263,Pickford,4.8,4.8,Everton,93,3.04,0.02
F,264,Simms,4.5,4.5,Everton,0,0.00,0.00
D,265,Tarkowski,4.6,4.6,Everton,89,1.43,0.08
G,266,J.Virginia,3.9,3.9,Everton,0,0.00,0.00
M,267,Andreas,5.3,5.3,Fulham,83,4.40,0.00
M,268,Cairney,4.9,4.9,Fulham,38,1.67,0.00
M,269,I.Cavaleiro,5.0,5.0,Fulham,0,0.00,0.00
M,270,De Cordova-Reid,5.2,5.2,Fulham,42,2.02,0.00
D,271,Diop,4.4,4.4,Fulham,0,0.00,0.00
M,272,Francois,4.4,4.4,Fulham,0,0.00,0.00
M,273,Knockaert,4.4,4.4,Fulham,0,0.00,0.00
D,274,Kongolo,4.0,4.0,Fulham,0,0.00,0.00
G,275,Leno,4.8,4.8,Fulham,94,3.82,0.00
M,276,Lukić,4.3,4.3,Fulham,0,0.00,0.00
D,277,Mbabu,4.0,4.0,Fulham,0,0.00,0.00
F,278,Mitrović,7.4,7.4,Fulham,0,0.00,0.00
F,279,Muniz,4.3,4.3,Fulham,83,4.42,0.01
M,280,J.Palhinha,5.0,5.0,Fulham,89,2.56,0.00
D,281,Ream,4.4,4.4,Fulham,90,3.02,0.00
M,282,Reed,4.3,4.3,Fulham,53,1.91,0.00
D,283,Robinson,4.5,4.5,Fulham,90,3.35,0.00
G,284,Rodák,3.9,3.9,Fulham,0,0.00,0.00
D,285,Tete,4.4,4.4,Fulham,16,0.65,0.00
D,286,Tosin,4.3,4.3,Fulham,5,0.18,0.00
F,287,Vinícius,4.5,4.5,Fulham,0,0.00,0.00
M,288,Wilson,5.3,5.3,Fulham,20,1.25,0.00
G,289,Adrián,3.8,3.8,Liverpool,0,0.00,0.00
D,290,Alexander-Arnold,8.4,8.4,Liverpool,80,4.78,0.01
G,291,A.Becker,5.7,5.7,Liverpool,95,4.20,0.00
M,292,Bajcetic,4.7,4.7,Liverpool,6,0.25,0.00
F,293,Darwin,7.5,7.5,Liverpool,29,2.14,0.00
M,294,Diogo J.,7.9,7.9,Liverpool,34,2.49,0.00
M,295,Elliott,4.8,4.8,Liverpool,56,2.87,0.00
M,296,Fabinho,5.0,5.0,Liverpool,0,0.00,0.00
F,297,Gakpo,7.1,7.1,Liverpool,52,3.04,0.00
D,298,Gomez,4.5,4.5,Liverpool,27,1.27,0.00
M,299,Henderson,5.0,5.0,Liverpool,0,0.00,0.00
M,300,Jones,4.9,4.9,Liverpool,19,0.96,0.00
G,301,Kelleher,3.6,3.6,Liverpool,0,0.00,0.01
D,302,Konaté,4.9,4.9,Liverpool,23,0.99,0.00
M,303,Luis Díaz,7.6,7.6,Liverpool,74,4.38,0.00
M,304,Mac Allister,5.9,5.9,Liverpool,83,3.55,0.00
D,305,Matip,4.8,4.8,Liverpool,11,0.50,0.00
D,306,Phillips,4.0,4.0,Liverpool,0,0.00,0.00
D,307,Robertson,6.5,6.5,Liverpool,60,3.38,0.01
M,308,Salah,13.4,13.4,Liverpool,82,6.05,0.02
M,309,Szoboszlai,7.1,7.1,Liverpool,30,1.81,0.00
M,310,Thiago,4.7,4.7,Liverpool,4,0.19,0.00
D,311,Tsimikas,4.3,4.3,Liverpool,10,0.48,0.00
D,312,Van den Berg,4.0,4.0,Liverpool,0,0.00,0.00
D,313,Virgil,6.6,6.6,Liverpool,91,4.17,0.01
F,314,Adebayo,4.8,4.8,Luton,67,2.94,0.00
D,315,Andersen,3.8,3.8,Luton,0,0.00,0.00
D,316,Bell,3.8,3.8,Luton,0,0.00,0.00
M,317,Berry,4.6,4.6,Luton,53,2.03,0.00
D,318,Burke,4.0,4.0,Luton,0,0.00,0.00
M,319,Campbell,4.9,4.9,Luton,0,0.00,0.00
M,320,Clark,4.8,4.8,Luton,72,2.41,0.00
D,321,Doughty,4.3,4.3,Luton,86,3.52,0.02
M,322,Freeman,4.9,4.9,Luton,0,0.00,0.00
G,323,Macey,4.0,4.0,Luton,0,0.00,0.00
F,324,McAtee,4.5,4.5,Luton,0,0.00,0.00
M,325,Mendes,4.5,4.5,Luton,0,0.00,0.00
F,326,Morris,4.7,4.7,Luton,79,3.52,0.00
F,327,Muskwe,4.5,4.5,Luton,0,0.00,0.00
F,328,Ogbene,4.8,4.8,Luton,65,2.33,0.00
M,329,Onyedinma,5.0,5.0,Luton,47,1.90,0.00
D,330,Osho,4.4,4.4,Luton,93,2.62,0.00
F,331,Pepple,4.5,4.5,Luton,0,0.00,0.00
M,332,Pereira,4.4,4.4,Luton,0,0.00,0.00
D,333,Potts,3.9,3.9,Luton,0,0.00,0.00
M,334,Rea,4.4,4.4,Luton,0,0.00,0.00
G,335,Shea,4.2,4.2,Luton,0,0.00,0.00
F,336,Taylor,4.5,4.5,Luton,0,0.00,0.00
M,337,Thorpe,4.5,4.5,Luton,0,0.00,0.00
G,338,Walton,4.0,4.0,Luton,0,0.00,0.00
M,339,Watson,4.4,4.4,Luton,0,0.00,0.00
F,340,Woodrow,4.3,4.3,Luton,6,0.42,0.00
D,341,Akanji,5.0,5.0,Man City,73,3.65,0.01
D,342,Aké,5.0,5.0,Man City,61,3.25,0.00
F,343,J.Alvarez,6.4,6.4,Man City,48,3.56,0.01
M,344,Bernardo,6.2,6.2,Man City,74,3.85,0.00
M,345,Bobb,4.4,4.4,Man City,9,0.61,0.00
D,346,Cancelo,5.8,5.8,Man City,0,0.00,0.00
G,347,Carson,3.8,3.8,Man City,0,0.00,0.00
M,348,Charles,4.5,4.5,Man City,0,0.00,0.00
M,349,De Bruyne,10.6,10.6,Man City,65,4.92,0.08
D,350,Rúben,5.5,5.5,Man City,34,1.68,0.03
M,351,Doyle,4.4,4.4,Wolves,19,0.78,0.00
G,352,Ederson M.,5.5,5.5,Man City,0,0.00,0.48
M,353,Foden,8.5,8.5,Man City,87,5.83,0.88
M,354,Grealish,7.2,7.2,Man City,42,2.75,0.00
F,355,Haaland,14.3,14.1,Man City,88,7.37,0.98
M,356,Kovačić,4.6,4.6,Man City,47,2.12,0.00
D,357,Laporte,4.9,4.9,Man City,0,0.00,0.00
D,358,R.Lewis,4.2,4.2,Man City,9,0.44,0.00
M,359,Mahrez,7.5,7.5,Man City,0,0.00,0.00
M,360,McAtee,4.4,4.4,Sheffield Utd,56,2.36,0.00
G,361,Ortega Moreno,3.6,3.6,Man City,94,4.40,0.00
M,362,Palmer,6.3,6.0,Chelsea,87,5.96,0.99
M,363,Perrone,4.4,4.4,Man City,0,0.00,0.00
M,364,Phillips,4.7,4.7,West Ham,0,0.00,0.00
M,365,Rodrigo,5.6,5.6,Man City,92,3.60,0.00
D,366,Sergio Gómez,3.8,3.8,Man City,0,0.00,0.00
G,367,Steffen,3.9,3.9,Man City,0,0.00,0.00
D,368,Stones,5.3,5.3,Man City,39,2.04,0.00
D,369,Walker,5.5,5.5,Man City,73,3.88,0.05
D,370,Alex Telles,4.5,4.5,Man Utd,0,0.00,0.00
M,371,Amad,4.4,4.4,Man Utd,49,2.32,0.00
M,372,Antony,6.8,6.8,Man Utd,14,0.72,0.00
M,373,B.Fernandes,8.5,8.4,Man Utd,92,4.32,0.53
D,374,B.Williams,4.0,4.0,Man Utd,0,0.00,0.00
D,375,Bailly,4.0,4.0,Man Utd,0,0.00,0.00
M,376,Casemiro,5.3,5.3,Man Utd,78,2.27,0.00
D,377,Dalot,5.2,5.2,Man Utd,93,2.94,0.20
M,378,Elanga,4.9,4.9,Nott'm Forest,58,2.48,0.00
M,379,Eriksen,5.8,5.8,Man Utd,8,0.43,0.00
D,380,Fernandez,4.0,4.0,Man Utd,0,0.00,0.00
M,381,Fred,5.0,5.0,Man Utd,0,0.00,0.00
M,382,Garnacho,5.0,5.0,Man Utd,82,3.54,0.22
M,383,Hannibal,4.3,4.3,Man Utd,0,0.00,0.00
G,384,Heaton,3.9,3.9,Man Utd,0,0.00,0.00
G,385,Henderson,4.4,4.4,Crystal Palace,93,3.58,0.01
D,386,Lindelof,4.5,4.5,Man Utd,22,0.73,0.00
D,387,Maguire,4.3,4.3,Man Utd,0,0.00,0.01
M,388,Mainoo,4.4,4.4,Man Utd,86,2.70,0.00
D,389,Malacia,4.3,4.3,Man Utd,0,0.00,0.00
F,390,Martial,6.4,6.4,Man Utd,2,0.18,0.00
D,391,Martinez,4.7,4.7,Man Utd,52,1.75,0.00
M,392,McTominay,4.5,4.5,Man Utd,35,1.19,0.00
D,393,Mengi,3.9,3.9,Luton,90,2.55,0.00
M,394,Pellistri,4.2,4.2,Man Utd,0,0.00,0.00
D,395,R.Varane,4.9,4.9,Man Utd,7,0.26,0.00
M,396,Rashford,8.4,8.4,Man Utd,58,3.02,0.01
M,397,Sancho,6.7,6.7,Man Utd,0,0.00,0.00
D,398,Shaw,5.2,5.2,Man Utd,0,0.00,0.00
F,399,Shoretire,4.4,4.4,Man Utd,0,0.00,0.00
M,400,Van de Beek,4.7,4.7,Man Utd,0,0.00,0.00
D,401,Wan-Bissaka,4.4,4.4,Man Utd,90,2.79,0.01
M,402,Almirón,6.0,6.0,Newcastle,42,2.12,0.00
M,403,Anderson,4.2,4.2,Newcastle,42,1.63,0.00
D,404,Ashby,4.0,4.0,Newcastle,0,0.00,0.00
D,405,Botman,4.5,4.5,Newcastle,0,0.00,0.01
M,406,Bruno G.,5.8,5.8,Newcastle,94,2.81,0.00
D,407,Burn,4.7,4.6,Newcastle,89,2.93,0.86
G,408,Darlow,4.0,4.0,Newcastle,0,0.00,0.00
G,409,Dubravka,4.3,4.3,Newcastle,32,1.21,0.02
M,410,Fraser,4.9,4.9,Newcastle,0,0.00,0.00
G,411,Gillespie,3.9,3.9,Newcastle,0,0.00,0.00
M,412,Gordon,6.4,6.2,Newcastle,9,0.39,0.79
M,413,Hayden,4.4,4.4,Newcastle,0,0.00,0.00
M,414,Hendrick,4.4,4.4,Newcastle,0,0.00,0.00
F,415,Isak,8.4,8.2,Newcastle,81,4.23,0.93
M,416,Joelinton,5.8,5.8,Newcastle,63,2.25,0.00
D,417,Krafth,4.4,4.4,Newcastle,59,1.87,0.04
M,418,Kuol,4.5,4.5,Newcastle,0,0.00,0.00
D,419,Lascelles,3.7,3.7,Newcastle,0,0.00,0.00
D,420,J.Lewis,4.0,4.0,Newcastle,0,0.00,0.00
M,421,Longstaff,4.8,4.8,Newcastle,81,2.51,0.00
D,422,Manquillo,4.0,4.0,Newcastle,0,0.00,0.00
M,423,J.Murphy,4.8,4.8,Newcastle,53,2.51,0.00
G,424,Pope,5.3,5.3,Newcastle,58,2.21,0.00
M,425,Ritchie,4.3,4.3,Newcastle,3,0.13,0.00
M,426,Saint-Maximin,6.0,6.0,Newcastle,0,0.00,0.00
D,427,Schär,5.6,5.6,Newcastle,92,3.01,0.01
D,428,Targett,4.2,4.2,Newcastle,0,0.00,0.00
M,429,Tonali,5.2,5.2,Newcastle,0,0.00,0.00
D,430,Trippier,6.6,6.6,Newcastle,71,2.81,0.01
D,431,Watts,4.0,4.0,Newcastle,0,0.00,0.00
M,432,Willock,5.3,5.3,Newcastle,0,0.00,0.00
F,433,Wilson,7.8,7.8,Newcastle,45,2.58,0.02
M,434,B.Aguilera,4.5,4.5,Nott'm Forest,0,0.00,0.00
M,435,Arter,4.3,4.3,Nott'm Forest,0,0.00,0.00
D,436,Aurier,4.5,4.5,Nott'm Forest,0,0.00,0.00
F,437,Awoniyi,6.3,6.3,Nott'm Forest,20,1.31,0.00
D,438,Biancone,3.9,3.9,Nott'm Forest,0,0.00,0.00
D,439,Boly,4.5,4.5,Nott'm Forest,83,2.83,0.00
M,440,Bowler,4.5,4.5,Nott'm Forest,0,0.00,0.00
D,441,Cook,4.5,4.5,Nott'm Forest,0,0.00,0.00
M,442,Danilo,5.3,5.3,Nott'm Forest,78,2.55,0.00
F,443,Dennis,4.8,4.8,Nott'm Forest,0,0.00,0.00
D,444,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0.00
D,445,Felipe,4.4,4.4,Nott'm Forest,0,0.00,0.00
M,446,Freuler,4.9,4.9,Nott'm Forest,0,0.00,0.00
M,447,Gibbs-White,5.7,5.7,Nott'm Forest,89,4.15,0.00
G,448,Hennessey,3.9,3.9,Nott'm Forest,0,0.00,0.00
G,449,Horvath,4.3,4.3,Nott'm Forest,0,0.00,0.00
M,450,Johnson,5.8,5.8,Spurs,83,4.64,0.19
M,451,Kouyaté,4.8,4.8,Nott'm Forest,7,0.30,0.00
D,452,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0.00
M,453,Mangala,5.0,5.0,Nott'm Forest,0,0.00,0.00
D,454,Mbe Soh,4.0,4.0,Nott'm Forest,0,0.00,0.00
D,455,McKenna,4.4,4.4,Nott'm Forest,0,0.00,0.00
M,456,Mighten,4.4,4.4,Nott'm Forest,0,0.00,0.00
D,457,Niakhaté,4.5,4.5,Nott'm Forest,38,1.18,0.00
M,458,O'Brien,4.9,4.9,Nott'm Forest,0,0.00,0.00
M,459,Ojeda,4.5,4.5,Nott'm Forest,0,0.00,0.00
D,460,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0.00
D,461,O.Richards,4.4,4.4,Nott'm Forest,0,0.00,0.00
M,462,G.Scarpa,4.5,4.5,Nott'm Forest,0,0.00,0.00
M,463,J.Shelvey,4.8,4.8,Nott'm Forest,0,0.00,0.00
F,464,Surridge,4.5,4.5,Nott'm Forest,0,0.00,0.00
D,465,Toffolo,4.4,4.4,Nott'm Forest,18,0.63,0.00
F,466,Ui-jo,4.4,4.4,Nott'm Forest,0,0.00,0.00
D,467,Williams,4.3,4.3,Nott'm Forest,0,0.00,0.00
F,468,Wood,4.7,4.7,Nott'm Forest,82,4.03,0.00
D,469,Worrall,4.3,4.3,Nott'm Forest,0,0.00,0.00
M,470,Yates,4.8,4.8,Nott'm Forest,83,2.39,0.00
D,471,Ahmedhodžić,4.3,4.3,Sheffield Utd,89,2.06,0.00
G,472,Amissah,3.9,3.9,Sheffield Utd,0,0.00,0.00
D,473,Baldock,3.8,3.8,Sheffield Utd,0,0.00,0.00
D,474,Basham,3.9,3.9,Sheffield Utd,0,0.00,0.00
M,475,Berge,4.6,4.6,Burnley,90,2.66,0.00
D,476,Bogle,4.5,4.5,Sheffield Utd,86,2.28,0.00
F,477,Brewster,4.9,4.9,Sheffield Utd,20,1.00,0.00
M,478,Coulibaly,4.4,4.4,Sheffield Utd,0,0.00,0.00
G,479,A.Davies,4.0,4.0,Sheffield Utd,0,0.00,0.00
D,480,Egan,4.2,4.2,Sheffield Utd,0,0.00,0.00
M,481,Fleck,4.9,4.9,Sheffield Utd,0,0.00,0.00
G,482,Foderingham,4.4,4.4,Sheffield Utd,93,3.13,0.00
F,483,Jebbison,4.8,4.8,Sheffield Utd,0,0.00,0.00
